domain,career_link
stripe.com,https://stripe.com/in/jobs
stripe.com,https://stripe.com/careers/jobs
stripe.com,https://stripe.com/careers/open-positions
stripe.com,https://stripe.com/jobs
stripe.com,https://stripe.com/about/careers
stripe.com,https://stripe.com/careers
notion.so,https://notion.so/careers/open-positions
notion.so,https://notion.so/about/careers
notion.so,https://notion.so/careers
notion.so,https://notion.so/careers/jobs
notion.so,https://notion.so/jobs
linear.app,https://linear.app/careers
linear.app,https://linear.app/careers/jobs
linear.app,https://linear.app/about/careers
linear.app,https://linear.app/jobs
linear.app,https://linear.app/careers/open-positions
linear.app,https://linear.app/join-slack
figma.com,https://figma.com/about/careers
figma.com,https://figma.com/careers/jobs
figma.com,https://figma.com/careers/open-positions
figma.com,https://www.figma.com/figjam/agile-workflows/
figma.com,https://figma.com/jobs
figma.com,https://www.figma.com/careers/
figma.com,https://figma.com/careers
turing.com,https://turing.com/careers/jobs
turing.com,https://turing.com/jobs
turing.com,https://turing.com/careers
turing.com,https://turing.com/about/careers
turing.com,https://turing.com/careers/open-positions
retool.com,https://retool.com/blog/retool-automates-100-million-hours-of-work-launching-agents
retool.com,https://retool.com/careers
retool.com,https://retool.com/careers/open-positions
retool.com,https://retool.com/hire-developer
retool.com,https://retool.com/jobs
retool.com,https://retool.com/workflows
retool.com,https://retool.com/careers/jobs
retool.com,https://retool.com/about/careers
airtable.com,https://airtable.com/jobs
airtable.com,https://airtable.com/careers/jobs
airtable.com,https://airtable.com/careers
airtable.com,https://airtable.com/careers/open-positions
airtable.com,https://airtable.com/about/careers
zapier.com,https://zapier.com/about/careers
zapier.com,https://zapier.com/l/workato-vs-zapier/
zapier.com,https://zapier.com/careers/jobs
zapier.com,https://zapier.com/workflows
zapier.com,https://zapier.com/apps/teamwork-desk/integrations
zapier.com,https://zapier.com/careers
zapier.com,https://zapier.com/careers/open-positions
zapier.com,https://zapier.com/jobs
sentry.io,https://sentry.io/careers/
sentry.io,https://sentry.io/jobs
sentry.io,https://sentry.io/careers/open-positions
sentry.io,https://sentry.io/careers/jobs
sentry.io,https://sentry.io/careers
sentry.io,https://sentry.io/about/careers
loom.com,https://loom.com/careers/open-positions
loom.com,https://loom.com/about/careers
